"Country","C/T?","Year","Status","Political_Rights","Civil_Liberties","Total_Score","Population","GDP_per_Capita"
"Albania","c",2022,"PF",28,39,67,2777689,18603.4117850842
"Algeria","c",2022,"NF",10,22,32,44903225,13226.789566754
"Angola","c",2022,"NF",10,20,30,35588987,6976.00646865565
"Antigua and Barbuda","c",2022,"F",33,52,85,93763,26365.468976483
"Argentina","c",2022,"F",35,49,84,46234830,26530.3231237638
"Armenia","c",2022,"PF",23,32,55,2780469,18965.727568415
"Australia","c",2022,"F",39,56,95,26005540,63216.149216392
"Austria","c",2022,"F",37,56,93,9041851,67874.9048844099
"Azerbaijan","c",2022,"NF",2,7,9,10141756,17828.6083929734
"Bahrain","c",2022,"NF",2,10,12,1472233,61248.1801285972
"Bangladesh","c",2022,"PF",15,24,39,171186372,7397.54573714685
"Barbados","c",2022,"F",38,57,95,281635,18210.1343005115
"Belarus","c",2022,"NF",2,6,8,9228071,22550.6404444662
"Belgium","c",2022,"F",39,57,96,11685814,65478.4469522084
"Belize","c",2022,"F",34,53,87,405272,11189.8640824336
"Benin","c",2022,"PF",17,42,59,13352864,4057.45175503911
"Bolivia","c",2022,"PF",27,39,66,12224110,9737.67606836986
"Bosnia and Herzegovina","c",2022,"PF",19,34,53,3233526,19990.8134862428
"Botswana","c",2022,"F",28,44,72,2630296,18329.8492615705
"Brazil","c",2022,"F",31,42,73,215313498,17827.6410509892
"Bulgaria","c",2022,"F",33,46,79,6465097,33845.5763515178
"Burkina Faso","c",2022,"PF",23,30,53,22673762,2549.93498181033
"Burundi","c",2022,"NF",4,10,14,12889576,836.464567494017
"Cabo Verde","c",2022,"F",38,54,92,593149,8715.99568369362
"Cambodia","c",2022,"NF",5,19,24,16767842,5355.17190766502
"Cameroon","c",2022,"NF",6,9,15,27914536,4398.0489187208
"Canada","c",2022,"F",40,58,98,38929902,58347.6696097595
"Central African Republic","c",2022,"NF",3,4,7,5579144,973.246270390756
"Chad","c",2022,"NF",1,14,15,17723315,1668.57552569893
"Chile","c",2022,"F",38,56,94,19603733,30208.8055307995
"China","c",2022,"NF",-2,11,9,1412175000,21482.5621847397
"Colombia","c",2022,"PF",29,35,64,51874024,20268.6823900174
"Comoros","c",2022,"PF",16,26,42,836774,3833.73856298856
"Costa Rica","c",2022,"F",38,53,91,5180829,25237.1182028471
"Cote d'Ivoire","c",2022,"PF",19,30,49,28160542,6540.46235512789
"Croatia","c",2022,"F",36,49,85,3855600,40240.0118371846
"Cyprus","c",2022,"F",38,55,93,1251488,51322.69921875
"Denmark","c",2022,"F",40,57,97,5903037,74896.9962236765
"Djibouti","c",2022,"NF",5,19,24,1120849,5893.23837068246
"Dominica","c",2022,"F",37,56,93,72737,13540.2246149243
"Dominican Republic","c",2022,"PF",27,41,68,11228821,22841.0897955951
"Ecuador","c",2022,"F",31,40,71,18001000,12826.3613458148
"El Salvador","c",2022,"PF",26,33,59,6336392,11098.0983942883
"Equatorial Guinea","c",2022,"NF",0,5,5,1674908,17620.7409736268
"Estonia","c",2022,"F",38,56,94,1348840,46556.3855294316
"Eswatini","c",2022,"NF",1,16,17,1201670,10699.5423550208
"Ethiopia","c",2022,"NF",12,11,23,123379924,2812.51313440852
"Fiji","c",2022,"PF",23,35,58,929766,14632.2100618181
"Finland","c",2022,"F",40,60,100,5556106,59470.1450149986
"France","c",2022,"F",38,51,89,67971311,55387.4645768527
"Gabon","c",2022,"NF",3,18,21,2388992,16464.9743242695
"Georgia","c",2022,"PF",22,36,58,3712502,20172.0764615412
"Germany","c",2022,"F",39,55,94,83797985,63521.899395912
"Ghana","c",2022,"F",35,45,80,33475870,6473.08984567289
"Greece","c",2022,"F",37,50,87,10426919,37075.1124218619
"Grenada","c",2022,"F",37,52,89,125438,17082.892672685
"Guatemala","c",2022,"PF",21,30,51,17357886,10821.7554497323
"Guinea","c",2022,"NF",10,24,34,13859341,3188.07510401313
"Guinea-Bissau","c",2022,"PF",17,26,43,2105566,2191.16485861513
"Guyana","c",2022,"F",30,43,73,808726,42089.900359606
"Haiti","c",2022,"NF",11,22,33,11584996,3306.17082412482
"Honduras","c",2022,"PF",21,26,47,10432860,6743.33006423991
"Hungary","c",2022,"PF",26,43,69,9643048,41740.9112569489
"Iceland","c",2022,"F",37,57,94,382003,69615.5049380109
"India","c",2022,"PF",33,33,66,1417173173,8400.3828483398
"Indonesia","c",2022,"PF",30,29,59,275501339,14657.7823368915
"Iraq","c",2022,"NF",16,13,29,44496122,10865.4200792049
"Ireland","c",2022,"F",39,58,97,5127170,126837.311688676
"Israel","c",2022,"F",34,42,76,9557500,49754.7599085615
"Italy","c",2022,"F",36,54,90,58940425,52803.9972579983
"Jamaica","c",2022,"F",34,46,80,2827377,11938.9009664569
"Japan","c",2022,"F",40,56,96,125124989,45583.8469685282
"Jordan","c",2022,"NF",11,22,33,11285869,11209.897676438
"Kazakhstan","c",2022,"NF",5,18,23,19621972,30820.0857848623
"Kenya","c",2022,"PF",19,29,48,54027487,5765.81949696443
"Kiribati","c",2022,"F",37,56,93,131232,2365.50992341051
"Kosovo","c",2022,"PF",25,31,56,1761985,14971.1520561322
"Kuwait","c",2022,"PF",14,23,37,4268873,58349.2114120915
"Latvia","c",2022,"F",37,51,88,1879383,39825.2634172655
"Lesotho","c",2022,"PF",27,36,63,2305825,2646.1759238104
"Libya","c",2022,"NF",1,8,9,6812341,23382.7324088016
"Lithuania","c",2022,"F",38,51,89,2831639,48860.6793359785
"Luxembourg","c",2022,"F",38,59,97,653103,140616.449148
"Madagascar","c",2022,"PF",27,34,61,29611714,1774.65630399746
"Malawi","c",2022,"PF",29,37,66,20405317,1732.60411139387
"Malaysia","c",2022,"PF",20,30,50,33938221,33525.3012498421
"Maldives","c",2022,"PF",19,21,40,523787,25124.6094529944
"Mali","c",2022,"NF",8,24,32,22593590,2518.94728348582
"Malta","c",2022,"F",35,54,89,531113,55865.8463715919
"Marshall Islands","c",2022,"F",38,55,93,41569,7092.027363937
"Mauritania","c",2022,"PF",14,21,35,4736139,6295.78099826155
"Mauritius","c",2022,"F",36,50,86,1262523,26979.0532195774
"Mexico","c",2022,"PF",27,33,60,127504125,22298.2137128767
"Moldova","c",2022,"PF",27,35,62,2538894,15719.2324862641
"Mongolia","c",2022,"F",36,48,84,3398366,14260.3096543967
"Montenegro","c",2022,"PF",26,41,67,617213,27027.48297441
"Morocco","c",2022,"PF",13,24,37,37457971,9547.6640625
"Mozambique","c",2022,"PF",14,29,43,32969518,1477.34939961028
"Myanmar","c",2022,"NF",0,9,9,54179306,5019.73973180583
"Namibia","c",2022,"F",31,46,77,2567012,11531.3005163764
"Nauru","c",2022,"F",34,43,77,12668,13021.398870157
"Nepal","c",2022,"PF",25,32,57,30547580,4726.60650378106
"Netherlands","c",2022,"F",39,58,97,17700982,70869.4073819731
"New Zealand","c",2022,"F",40,59,99,5124100,52149.2368958824
"Nicaragua","c",2022,"NF",5,18,23,6948392,6877.07083200217
"Niger","c",2022,"PF",23,28,51,26207977,1505.54264771219
"Nigeria","c",2022,"PF",20,23,43,218541212,5862.23507005742
"North Macedonia","c",2022,"PF",28,39,67,2057679,20328.8526880125
"Norway","c",2022,"F",40,60,100,5457127,114929.521014913
"Oman","c",2022,"NF",6,18,24,4576298,41738.1607783558
"Pakistan","c",2022,"PF",15,22,37,235824862,6351.00252324571
"Panama","c",2022,"F",35,48,83,4408581,39292.6875051924
"Papua New Guinea","c",2022,"PF",23,39,62,10142619,4432.7896182552
"Paraguay","c",2022,"PF",28,37,65,6780744,15982.6044425
"Peru","c",2022,"F",30,42,72,34049588,15052.5031043298
"Philippines","c",2022,"PF",25,30,55,115559009,10136.5527084588
"Poland","c",2022,"F",34,47,81,36821749,44134.6183100063
"Portugal","c",2022,"F",39,56,95,10409704,41862.7227829248
